key,area,pop
BA,   307571,	15625084	
SC,   243943,	273964	
CHU,  224686,	509108	
RN,   203013,	638645	
CBA,  165321,	3308876	
SAL,  155488,	1214441	
MDZ,  148827,	1738929	
LPA,  143440,	318951	
SDE,   136351,	874006	
SF,   133007,	3194537	
CAT,  102602,	367828	
CHA,   99633, 	1055259  
NQ,    94078, 	551266
LAR,   89680, 	333642
SJU,   89651, 	681055
COR,  88199, 	992595
ER,    78781, 	1235994
SL,    76748, 	432310
FOR,   72066, 	530162
JY,    53219, 	673307
MIS,   29801, 	1101593
TUC,   22524, 	1448188
TF,    21478,   127205	
ARG,   999,     44000000
CABA,  999,     2890000
